"spp","state","month","day","year","source","odate"
"sora","illinois",9,20,"1990","birdstrikes",263
"sora","illinois",9,20,"1990","birdstrikes",263
"sora","illinois",9,22,"1990","birdstrikes",265
"sora","illinois",9,28,"1990","birdstrikes",271
"sora","illinois",9,3,"1991","birdstrikes",246
"sora","illinois",9,8,"1991","birdstrikes",251
"sora","illinois",9,17,"1991","birdstrikes",260
"sora","illinois",9,23,"1991","birdstrikes",266
"sora","illinois",9,10,"1992","birdstrikes",253
"sora","illinois",9,27,"1992","birdstrikes",270
"sora","illinois",9,28,"1992","birdstrikes",271
"sora","illinois",9,28,"1992","birdstrikes",271
"sora","illinois",9,7,"1993","birdstrikes",250
"sora","illinois",9,8,"1993","birdstrikes",251
"sora","illinois",9,11,"1993","birdstrikes",254
"sora","illinois",9,4,"1994","birdstrikes",247
"sora","illinois",9,6,"1994","birdstrikes",249
"sora","illinois",9,6,"1994","birdstrikes",249
"sora","illinois",9,6,"1994","birdstrikes",249
"sora","illinois",9,8,"1994","birdstrikes",251
"sora","illinois",9,9,"1994","birdstrikes",252
"sora","illinois",9,13,"1994","birdstrikes",256
"sora","illinois",9,27,"1994","birdstrikes",270
"sora","illinois",9,13,"1995","birdstrikes",256
"sora","illinois",9,4,"1996","birdstrikes",247
"sora","illinois",9,10,"1996","birdstrikes",253
"sora","illinois",9,11,"1996","birdstrikes",254
"sora","illinois",9,23,"1996","birdstrikes",266
"sora","illinois",9,30,"1996","birdstrikes",273
"sora","illinois",9,10,"1997","birdstrikes",253
"sora","illinois",9,15,"1997","birdstrikes",258
"vira","new york",9,21,"1997","birdstrikes",264
"sora","illinois",9,14,"1998","birdstrikes",257
"sora","illinois",9,12,"1999","birdstrikes",255
"sora","illinois",9,8,"2000","birdstrikes",251
"sora","illinois",9,8,"2000","birdstrikes",251
"sora","illinois",9,9,"2000","birdstrikes",252
"sora","illinois",9,9,"2000","birdstrikes",252
"sora","illinois",9,11,"2000","birdstrikes",254
"sora","illinois",9,12,"2000","birdstrikes",255
"sora","new york",9,27,"2000","birdstrikes",270
"vira","new york",9,17,"2000","birdstrikes",260
"vira","ontario",9,28,"2001","birdstrikes",271
"sora","illinois",9,19,"2002","birdstrikes",262
"vira","illinois",9,12,"2002","birdstrikes",255
"sora","illinois",9,16,"2002","birdstrikes",259
"sora","ontario",9,27,"2002","birdstrikes",270
"vira","new york",9,29,"2002","birdstrikes",272
"sora","ontario",9,6,"2002","birdstrikes",249
"sora","ontario",9,29,"2002","birdstrikes",272
"vira","ontario",9,6,"2002","birdstrikes",249
"vira","ontario",9,6,"2002","birdstrikes",249
"vira","ontario",9,25,"2002","birdstrikes",268
"vira","ontario",9,29,"2002","birdstrikes",272
"sora","illinois",9,4,"2003","birdstrikes",247
"sora","illinois",9,26,"2003","birdstrikes",269
"sora","illinois",9,7,"2003","birdstrikes",250
"sora","illinois",9,17,"2003","birdstrikes",260
"sora","ontario",9,18,"2003","birdstrikes",261
"vira","ontario",9,6,"2003","birdstrikes",249
"vira","ontario",9,25,"2003","birdstrikes",268
"vira","ontario",9,27,"2003","birdstrikes",270
"sora","illinois",9,2,"2004","birdstrikes",245
"sora","illinois",9,24,"2004","birdstrikes",267
"vira","new york",9,11,"2004","birdstrikes",254
"sora","illinois",9,9,"2005","birdstrikes",252
"sora","illinois",9,16,"2005","birdstrikes",259
"sora","illinois",9,22,"2005","birdstrikes",265
"sora","illinois",9,8,"2005","birdstrikes",251
"sora","illinois",9,14,"2005","birdstrikes",257
"sora","illinois",9,14,"2005","birdstrikes",257
"sora","illinois",9,14,"2005","birdstrikes",257
"sora","ontario",9,16,"2005","birdstrikes",259
"vira","ontario",9,10,"2005","birdstrikes",253
"sora","illinois",9,19,"2006","birdstrikes",262
"vira","illinois",9,20,"2006","birdstrikes",263
"vira","illinois",9,21,"2006","birdstrikes",264
"vira","ontario",9,21,"2006","birdstrikes",264
"sora","ontario",9,20,"2006","birdstrikes",263
"sora","ontario",9,23,"2006","birdstrikes",266
"sora","ontario",9,27,"2006","birdstrikes",270
"vira","ontario",9,21,"2006","birdstrikes",264
"vira","ontario",9,26,"2006","birdstrikes",269
"vira","ontario",9,26,"2006","birdstrikes",269
"vira","ontario",9,26,"2006","birdstrikes",269
"vira","ontario",9,27,"2006","birdstrikes",270
"vira","ontario",9,27,"2006","birdstrikes",270
"vira","ontario",9,28,"2006","birdstrikes",271
"sora","illinois",9,4,"2007","birdstrikes",247
"sora","illinois",9,9,"2007","birdstrikes",252
"sora","illinois",9,18,"2007","birdstrikes",261
"sora","illinois",9,27,"2007","birdstrikes",270
"sora","illinois",9,27,"2007","birdstrikes",270
"vira","illinois",9,25,"2007","birdstrikes",268
"sora","illinois",9,4,"2007","birdstrikes",247
"sora","illinois",9,28,"2007","birdstrikes",271
"sora","minnesota",9,1,"2007","birdstrikes",244
"sora","minnesota",9,9,"2007","birdstrikes",252
"sora","minnesota",9,15,"2007","birdstrikes",258
"vira","ontario",9,13,"2007","birdstrikes",256
"vira","ontario",9,13,"2007","birdstrikes",256
"vira","ontario",9,24,"2007","birdstrikes",267
"sora","illinois",9,1,"2008","birdstrikes",244
"sora","illinois",9,1,"2008","birdstrikes",244
"sora","illinois",9,9,"2008","birdstrikes",252
"sora","illinois",9,9,"2008","birdstrikes",252
"sora","illinois",9,16,"2008","birdstrikes",259
"sora","ontario",9,5,"2008","birdstrikes",248
